base,arquivo,ano,uf,tipo,formato,status,caminho,observacoes
Populacao DATASUS,POPTBR19.dbf,2019,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPTBR19.zip::POPTBR19.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR20.dbf,2020,BR,populacao_residente,DBF,disponivel,data/raw/populacao_datasus/POPTBR20.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR20.zip,2020,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPTBR20.zip,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR20.dbf,2020,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPTBR20.zip::POPTBR20.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR21.dbf,2021,BR,populacao_residente,DBF,disponivel,data/raw/populacao_datasus/POPTBR21.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR21.zip,2021,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPTBR21.zip,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR21.dbf,2021,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPTBR21.zip::POPTBR21.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR22.dbf,2022,BR,populacao_residente,DBF,disponivel,data/raw/populacao_datasus/POPTBR22.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR22.zip,2022,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPTBR22.zip,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTPR22.dbf,2022,PR,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTPR22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTRJ22.dbf,2022,RJ,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTRJ22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTRN22.dbf,2022,RN,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTRN22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTRO22.dbf,2022,RO,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTRO22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTRR22.dbf,2022,RR,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTRR22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTRS22.dbf,2022,RS,populacao_residente_uf,DBF,preservado,data/raw/populacao_datasus/POPTBR22.zip::POPTRS22.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTSC22.dbf,2022,SC,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTSC22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTSE22.dbf,2022,SE,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTSE22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTSP22.dbf,2022,SP,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTSP22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTTO22.dbf,2022,TO,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTTO22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTAC22.dbf,2022,AC,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTAC22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTAL22.dbf,2022,AL,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTAL22.dbf,UF fora do recorte principal.
